	subj	subj_qid	subj_fid	rel_id	rel	rel_schema	obj	obj_qid	obj_fid
997	Venlo	Q3322237		P131	located in the administrative territorial entity		Munsterbilzen	Q323176	
998	Niel	Q12590744		P69	educated at		Arnold	Q2863333	
999	Amberg-Sulzbach	Q10421	/m/01bgnx	P47	shares border with		Bavaria	Q3637037	
1000	Valle San Nicolao	Q18186	/m/0gr2xp	P47	shares border with		Biella	Q18021	/m/042yvt
1001	Camandona	Q18033	/m/0gr1py	P47	shares border with		Piedicavallo	Q18141	/m/0gr2cs
1002	Nysa County	Q461537	/m/0gzvb6	P47	shares border with		Poland	Q7208881	
1003	Nysa County	Q461537	/m/0gzvb6	P150	contains administrative territorial entity		Poland	Q7208881	
1004	Nipissing District	Q1436530	/m/02y822	P150	contains administrative territorial entity		Lake Nipissing	Q1356838	/m/02lvc0
1005	Niigata Prefecture	Q132705	/m/018txg	P47	shares border with		Japan	Q3476248	
1006	Niigata Prefecture	Q132705	/m/018txg	P150	contains administrative territorial entity		Japan	Q3476248	
1007	Simancas	Q2481349		P131	located in the administrative territorial entity		Spain	Q16254367	
1008	William Edward Hartpole Lecky	Q725927	/m/01sjnz	P69	educated at		England	Q79282	/m/07ltmv
1009	Oceana	Q7076163		P131	located in the administrative territorial entity		England	Q79282	/m/07ltmv
1010	Szczecinek County	Q558408	/m/0gzt9m	P47	shares border with		Poland	Q7208881	
1011	Szczecinek County	Q558408	/m/0gzt9m	P150	contains administrative territorial entity		Poland	Q7208881	
1012	Angus King	Q544464	/m/02hfx0	P69	educated at		Augusta	Q765490	/m/0x2nl
1013	Bartow County	Q488181	/m/0n_94	P47	shares border with		Adairsville	Q346990	/m/0rt3v
1014	Cherokee County	Q108832	/m/0k6m3	P47	shares border with		Waleska	Q1221063	/m/0rv0y
1015	Turquzabad	Q5784434		P131	located in the administrative territorial entity		Kahrizak District	Q10324936	
1016	Brzeziny County	Q1147568	/m/0ggjfx	P47	shares border with		Poland	Q7208881	
1017	Brzeziny County	Q1147568	/m/0ggjfx	P150	contains administrative territorial entity		Poland	Q7208881	
1018	San Luis Obispo County	Q49014	/m/0l2v0	P47	shares border with		California	Q2933963	/m/025xzfp
1019	Richard Pipes	Q449064	/m/043fly	P27	country of citizenship	nationality	Ovruch	Q27039	/m/08dvg9
1020	Richard Pipes	Q449064	/m/043fly	P69	educated at		Ovruch	Q27039	/m/08dvg9
1021	Ferdinand Foch	Q192615	/m/01w_xd	P19	place of birth	birthPlace	Poland	Q7208881	
1022	Atsugi	Q389711	/m/0gp67w	P131	located in the administrative territorial entity		Yokohama	Q1205910	/m/02x21t
1023	Hoyt Vandenberg	Q712468	/m/02k_bm	P69	educated at		Air Force	Q1331280	/m/0k9wp
1024	Claudia Bassols	Q1151554	/m/04n2n_l	P69	educated at		Catalonia	Q5705	/m/01zv_
1025	Noel Cleal	Q7046892		P54	member of sports team		Bulldogs	Q22047667	
1026	Bundaberg	Q185404	/m/0jlwv	P131	located in the administrative territorial entity		Queensland	Q7270878	
1027	Buck Henry	Q999332	/m/02q4mt	P69	educated at		U.S. Army	Q9212	/m/07wh1
1028	San Juan Islands	Q1196315	/m/095hx	P17	country		Washington State	Q7972231	
1029	Vest-Agder	Q50623	/m/016z_n	P47	shares border with		Norway	Q7060816	
1030	Brian Skrudland	Q448378	/m/0cmfrf	P54	member of sports team		AHL	Q464995	/m/01ddbl
1031	Ali Awagi	Q22929554		P54	member of sports team		Al-Ahli	Q4702153	
1032	Aosta Valley	Q1222	/m/01rxwl	P47	shares border with		Italy	Q3708720	
1033	Nakhon Ratchasima	Q271737	/m/01d1d2	P47	shares border with		Khorat	Q17279590	
1034	East End	Q5328286		P131	located in the administrative territorial entity		London	Q23306	/m/036wy
1035	Balanga	Q1719	/m/02v0q0	P47	shares border with		Bataan	Q14917312	
1036	Bulacan	Q13755	/m/01lfy_	P47	shares border with		Balagtas	Q3696564	
1037	Ryan Whitney	Q2004775	/m/08fty3	P54	member of sports team		NHL	Q1215892	/m/05gwr
1038	Joe Allen	Q641139		P69	educated at		Southampton	Q21683230	
1039	Coconut Grove	Q5139826		P131	located in the administrative territorial entity		Little Havana	Q665413	/m/03msbs
1040	Plowman	Q2326803		P69	educated at		Highgate School	Q3560910	
1041	Debagram	Q5247818		P131	located in the administrative territorial entity		Uttar Pradesh	Q1498	/m/01hpnh
1042	Yannick Ferrera	Q3209246		P54	member of sports team		Belgian Pro League	Q216022	/m/050yt0
1043	Ukkel	Q203312	/m/06nzj4	P47	shares border with		Tubize	Q497549	/m/017qvr
1044	Marcel Gimond	Q3288993		P69	educated at		Paris	Q90	/m/05qtj
1045	Harangul	Q5654144		P131	located in the administrative territorial entity		Babhalgaon	Q15195827	
1046	Taiyuan	Q72778	/m/023w67	P150	contains administrative territorial entity		Zhangjiakou	Q58650	/m/03vg5p
1047	Taiyuan	Q72778	/m/023w67	P1376	capital of		Zhangjiakou	Q58650	/m/03vg5p
1048	Florida International University	Q1065809	/m/022fj_	P131	located in the administrative territorial entity		Florida	Q2548194	/m/05q8rtt
1049	Garonne	Q5077	/m/0cbg_	P17	country		Pamplona	Q997796	/m/026324g
1050	Bayonne	Q812589	/m/0xn5b	P131	located in the administrative territorial entity		Gascony	Q191085	/m/0k4z_
1051	Kalisz County	Q133178	/m/0f7bf2	P47	shares border with		Poland	Q7208881	
1052	Kalisz County	Q133178	/m/0f7bf2	P150	contains administrative territorial entity		Poland	Q7208881	
1053	Holst	Q200867	/m/0d3wx	P69	educated at		Santiago	Q3819742	/m/0c3w1lr
1054	Carpathian Mountains	Q1288	/m/0cdsk	P17	country		Czechoslovakia	Q33946	/m/01mk6
1055	Ninove	Q385026	/m/01486s	P47	shares border with		Appelterre-Eichem	Q2858703	
1056	Northern Limestone Alps	Q4935045	/m/04ff03	P17	country		Bavaria	Q3637037	
1057	Bavarian Alps	Q7411906	/m/0j64kx4	P17	country		Germany	Q1350565	
1058	Michelle Obama	Q13133	/m/025s5v9	P69	educated at		White House	Q2566904	
1059	Hastinapur	Q459714	/m/04c_gv	P17	country		Uttar Pradesh	Q1498	/m/01hpnh
1060	Gabriel Paletta	Q342342	/m/0bgj2w	P54	member of sports team		Parma	Q2545183	/m/0611d
1061	Antonio Candreva	Q32556	/m/02rnc1v	P54	member of sports team		Parma	Q2545183	/m/0611d
1062	Valeri Bojinov	Q310737	/m/051sff	P54	member of sports team		Parma	Q2545183	/m/0611d
1063	Frosinone	Q13413	/m/03wj5j	P47	shares border with		Empoli	Q6697	/m/05sysm
1064	Massimo Gobbi	Q528696	/m/0ffvqf	P54	member of sports team		Parma	Q2545183	/m/0611d
1065	Cristiano Lucarelli	Q310034	/m/04_5xt	P54	member of sports team		Napoli	Q3709005	/m/0xx_5
1066	Luca Antonelli	Q438235	/m/026gb12	P54	member of sports team		Parma	Q2545183	/m/0611d
1067	Francesco Modesto	Q2584470	/m/02vpsp3	P54	member of sports team		Genoa	Q3459757	
1068	Sion	Q68136	/m/02lz8q	P1376	capital of		Fribourg	Q22283	/m/03qdxsx
1069	Kudaka Island	Q4518835		P131	located in the administrative territorial entity		Okinawa	Q328615	/m/0gp71x
1070	Peter Sobotta	Q92022		P27	country of citizenship	nationality	UFC	Q2749558	
1071	Hardin County	Q109270	/m/0mrj3	P47	shares border with		Ohio	Q927274	
1072	Cate Marvin	Q5051784		P69	educated at		Marlboro College	Q5688765	/m/0jfwq
1073	Yuval Elizur	Q8062149		P69	educated at		Israel	Q6086734	
1074	Cynthia Addai-Robinson	Q13100685		P69	educated at		Gotham	Q5587790	
1075	Philip Brownstein	Q3901444		P69	educated at		Minneapolis Lakers	Q121783	/m/0jmk7
1076	Cravanzana	Q19972	/m/0gb9ct	P47	shares border with		Turin	Q7854947	
1077	George Dangerfield	Q1507199		P27	country of citizenship	nationality	England	Q79282	/m/07ltmv
1078	Seneca Falls	Q2270851	/m/03qvk1	P131	located in the administrative territorial entity		New York	Q60	/m/02_286
1079	Nordfriesland	Q2937	/m/0m97r	P47	shares border with		Germany	Q1350565	
1080	Macomb County	Q133857	/m/0njdm	P47	shares border with		Michigan	Q6030252	
1081	Loreto Region	Q200938	/m/0355g4	P47	shares border with		Colombia	Q2462831	
1082	Loreto Region	Q200938	/m/0355g4	P150	contains administrative territorial entity		Colombia	Q2462831	
1083	Harold C. Urey	Q179777	/m/02bd35	P69	educated at		University of California	Q184478	/m/07vgd
1084	Roger Revelle	Q942808	/m/071r85	P69	educated at		Scripps Institution of Oceanography	Q604029	/m/01gpf0
1085	Los Lagos	Q16905	/m/027q545	P47	shares border with		Apagado	Q617293	/m/03m6wrt
1086	Michael Meacher	Q583993		P69	educated at		Labour Party	Q283184	
1087	Vasili Bazhenov	Q51129	/m/085jvb	P69	educated at		Paris	Q90	/m/05qtj
1088	Jason Klumb	Q6162871		P69	educated at		Butler	Q5002558	
1089	Sulmona	Q50157	/m/06k8gj	P47	shares border with		Sulmona	Q50157	/m/06k8gj
1090	Zevio	Q48462	/m/0gb3hc	P47	shares border with		Verona	Q19817721	
1091	Kardzhali Province	Q1104675	/m/02synq	P150	contains administrative territorial entity		Bulgaria	Q3656821	
1092	Lipetsk	Q3490	/m/043c9p	P150	contains administrative territorial entity		Russia	Q3708651	
1093	Lipetsk	Q3490	/m/043c9p	P1376	capital of		Russia	Q3708651	
1094	Andrei Suslin	Q501707	/m/0h4qzl	P27	country of citizenship	nationality	Northwestern University	Q13565107	
1095	Luzhou	Q425492	/m/061y17	P150	contains administrative territorial entity		Taipei City	Q1867	/m/0ftkx
1096	Norrbotten County	Q103686	/m/0zt_l	P47	shares border with		Lappland	Q212640	/m/0880rt
1097	William A. Haseltine	Q1417617		P69	educated at		Harvard	Q1587876	/m/0v02y
1098	Moscow	Q649	/m/04swd	P47	shares border with		Moscow	Q649	/m/04swd
1099	Moscow	Q649	/m/04swd	P150	contains administrative territorial entity		Moscow	Q649	/m/04swd
1100	Moscow	Q649	/m/04swd	P1376	capital of		Moscow	Q649	/m/04swd
1101	Baoxing County	Q807084	/m/076x4s_	P150	contains administrative territorial entity		China	Q10956965	
1102	Ngawa	Q304182	/m/06c3vn	P150	contains administrative territorial entity		Xiaojin County	Q1169539	/m/076z5yl
1103	Kawit	Q62755	/m/0553mr	P47	shares border with		Noveleta	Q63096	/m/06mbzk
1104	Cavite	Q13785	/m/01f6qw	P47	shares border with		Spain	Q16254367	
1105	San Francisco de Malabon	Q62723	/m/06f98d	P47	shares border with		San Roque	Q2918872	
1106	Morong	Q106810	/m/06ktgl	P47	shares border with		Rizal	Q75928	/m/04p1p2
1107	Leyte	Q213160	/m/06sfk_	P47	shares border with		Cebu	Q6447129	
1108	Pampanga	Q13870	/m/01lwfr	P47	shares border with		Morong	Q106810	/m/06ktgl
1109	Pietermaritzburg	Q185591	/m/01_vrh	P1376	capital of		Natal	Q20019215	
1110	Chieti	Q13138	/m/06f_4j	P47	shares border with		Italy	Q3708720	
1111	Tim Cahill	Q7803268		P69	educated at		Antarctica	Q571337	
1112	Durness	Q992725	/m/02gq6r	P131	located in the administrative territorial entity		Scotland	Q3474402	
1113	David Rendel	Q5238989		P69	educated at		Newbury	Q945502	
1114	Jotunheimen National Park	Q1578584	/m/05kvc4	P131	located in the administrative territorial entity		Oppland	Q19396670	
1115	Ahmed Abdallah	Q401076	/m/03cp3n	P27	country of citizenship	nationality	Comorian Union for Progress	Q5155192	
1116	St. Clair County	Q115273	/m/0nj23	P47	shares border with		Illinois	Q1204	/m/03v0t
1117	Lake Zurich	Q1111226	/m/0sb2f	P131	located in the administrative territorial entity		Zurich	Q3576301	
1118	Jacques-Louis David	Q83155	/m/02hlw	P69	educated at		Brussels Cemetery	Q579666	/m/05l4br
1119	Morgan County	Q137828	/m/0k8qm	P47	shares border with		Kentucky	Q1603	/m/0498y
1120	Lizzie	Q12324762		P27	country of citizenship	nationality	London	Q23306	/m/036wy
1121	William S. Clark	Q901202	/m/02ky_h	P69	educated at		MAC	Q6824972	
1122	Andrews County	Q108534	/m/0msqm	P47	shares border with		New Mexico	Q14692288	
1123	Metten	Q505803	/m/02q0_zf	P47	shares border with		Munich	Q1300313	/m/0ynqb
1124	Gilbert Gress	Q676948	/m/02qg_hr	P27	country of citizenship	nationality	Strasbourg	Q1917272	
1125	Philipp Lahm	Q43682	/m/06s0nn	P54	member of sports team		Bayern Munich	Q540384	/m/0b0vgq
1126	Cristian Molinaro	Q314168	/m/026xb6d	P54	member of sports team		Juventus	Q528151	/m/0gj126
1127	Michael Prue	Q6833630		P69	educated at		NDP	Q3345044	
1128	Urumqi	Q16959	/m/01c8t6	P150	contains administrative territorial entity		China	Q10956965	
1129	Robert F. Kennedy	Q25310	/m/06hx2	P69	educated at		Justice Department	Q1553390	/m/0dtj5
1130	Loudi	Q416988	/m/0dkygv	P150	contains administrative territorial entity		China	Q10956965	
1131	William L. Pollard	Q8014204		P69	educated at		University of the District of Columbia	Q3551751	/m/037qq_
1132	Mwai Kibaki	Q57291	/m/015pz3	P69	educated at		National Rainbow Coalition	Q3130920	/m/015n8l
1133	Khaled Kamar	Q16937392		P54	member of sports team		Zamalek SC	Q2829425	
1134	Northern Ostrobothnia	Q5704	/m/02wjys	P47	shares border with		Finland	Q5450446	
1135	Northern Ostrobothnia	Q5704	/m/02wjys	P150	contains administrative territorial entity		Finland	Q5450446	
1136	Austin Healey	Q611049	/m/0248mx	P54	member of sports team		Jaguar	Q1678489	
1137	Matt Holliday	Q1185423	/m/0794v9	P54	member of sports team		Major League Baseball	Q1163715	/m/09p14
1138	John Guare	Q320556	/m/05kfhl	P69	educated at		New Orleans	Q2522995	/m/0kbg6by
1139	Arvidsjaur Municipality	Q499404	/m/0zv0g	P47	shares border with		Sweden	Q7654280	
1140	Jack Ross	Q3805645		P54	member of sports team		BBC	Q9531	/m/0g5lhl7
1141	Piedimonte San Germano	Q117119	/m/0gmx9p	P47	shares border with		Roccasecca	Q117211	/m/0f5sy4
1142	James Fraser	Q3161089		P69	educated at		Great Britain	Q23666	/m/034cm
1143	Amiens	Q14935333		P131	located in the administrative territorial entity		Kingston	Q6413444	
1144	Hermann Biggs	Q5740531		P69	educated at		New York City	Q60	/m/02_286
1145	Nigel Keay	Q3341361	/m/09v_pr	P27	country of citizenship	nationality	New Zealand	Q21470645	
1146	Umberto Bossi	Q47832	/m/03g53n	P27	country of citizenship	nationality	Lega Nord	Q3829509	
1147	Nisko County	Q629018	/m/041tzj	P47	shares border with		Poland	Q7208881	
1148	Nisko County	Q629018	/m/041tzj	P150	contains administrative territorial entity		Poland	Q7208881	
1149	Aragats	Q2221668	/m/04cw1gz	P131	located in the administrative territorial entity		Spitak	Q3230250	
1150	Kienthal	Q682448		P131	located in the administrative territorial entity		Switzerland	Q80282	
1151	DeMarco Murray	Q3703887		P69	educated at		Tennessee	Q7700003	
1152	Eric Dickerson	Q1351228	/m/04s_81	P54	member of sports team		NFL	Q1215884	/m/059yj
1153	Sam Bradford	Q714292	/m/02qjht0	P54	member of sports team		Eagles	Q189635	/m/0mjn2
1154	Vihti	Q935858	/m/02zvtg	P131	located in the administrative territorial entity		Finland	Q5450446	
1155	Dubna	Q135466	/m/01_whd	P47	shares border with		Russia	Q3708651	
1156	Yuri Oganessian	Q1144326	/m/0hhqxk8	P27	country of citizenship	nationality	Lawrence Livermore National Laboratory	Q519826	/m/09qyt
1157	Seneffe	Q669051	/m/017pmc	P47	shares border with		Brussels	Q2718202	/m/0s3h9
1158	Santiago del Estero Province	Q44827	/m/02k_p3	P47	shares border with		Argentina	Q645291	/m/0b6mhsj
1159	Wellawatte	Q7981177		P47	shares border with		Western Province	Q737354	
1160	Valenciennes	Q163795	/m/02gtr0	P131	located in the administrative territorial entity		Avesnes	Q854480	/m/07zzm4
1161	Valenciennes	Q163795	/m/02gtr0	P47	shares border with		Avesnes	Q854480	/m/07zzm4
1162	Valenciennes	Q163795	/m/02gtr0	P1376	capital of		Avesnes	Q854480	/m/07zzm4
1163	Praia	Q497019	/m/03h3rmr	P47	shares border with		Santa Cruz	Q977866	/m/010955
1164	Mohamed ElBaradei	Q133308	/m/01728m	P69	educated at		International Atomic Energy Agency	Q41984	/m/03w28
1165	Kew Bridge	Q371906	/m/01_cdh	P131	located in the administrative territorial entity		London	Q23306	/m/036wy
1166	Emily Carr	Q289624	/m/01qjpm	P69	educated at		British Columbia	Q1974	/m/015jr
1167	John E. Niederhuber	Q6230857		P69	educated at		National Cancer Institute	Q664846	/m/03nw5g
1168	Charles N. Millican	Q5081198		P69	educated at		UCF	Q143451	/m/0146hc
1169	Sekigahara	Q427600	/m/02vcm4	P131	located in the administrative territorial entity		Mimasaka	Q861279	/m/02lllr
1170	Basset	Q1084504		P69	educated at		Western Australia	Q3206	/m/0847q
1171	Bertinoro	Q99934	/m/07k3bj	P47	shares border with		Santa Caterina	Q957120	
1172	Laurent Beauvais	Q1415007	/m/09g83xk	P69	educated at		Regional Council of Basse-Normandie	Q2994239	
1173	Nogent-le-Rotrou	Q214432	/m/08rgd9	P131	located in the administrative territorial entity		Argentan	Q207622	/m/04m_fx
1174	Nogent-le-Rotrou	Q214432	/m/08rgd9	P47	shares border with		Argentan	Q207622	/m/04m_fx
1175	Nogent-le-Rotrou	Q214432	/m/08rgd9	P1376	capital of		Argentan	Q207622	/m/04m_fx
1176	Frederic Chopin	Q15970295		P27	country of citizenship	nationality	Adam Mickiewicz Museum	Q3051109	/m/047p8hp
1177	Heydar Aliyev	Q157451	/m/023q8s	P69	educated at		Cleveland Clinic	Q4117596	
1178	Blue Ridge	Q4929686		P131	located in the administrative territorial entity		Collin County	Q111174	/m/0ms6_
1179	Malacca Strait	Q48359	/m/0g6wd	P47	shares border with		Langkawi	Q273303	/m/026m5r
1180	Satun	Q236263	/m/01kt4s	P47	shares border with		Ko Lipe	Q498252	/m/04jn2hz
1181	Satun	Q236263	/m/01kt4s	P150	contains administrative territorial entity		Ko Lipe	Q498252	/m/04jn2hz
1182	Jon Stewart	Q6271634		P54	member of sports team		BBC	Q9531	/m/0g5lhl7
1183	Ken Dryden	Q739820	/m/01p5m7	P69	educated at		House of Commons	Q11242601	
1184	Ferdinand Francis Fernandez	Q5443835		P69	educated at		Pasadena	Q7141522	
1185	Alagoas	Q40885	/m/015zxx	P47	shares border with		Bahia	Q4842548	
1186	Simat de la Valldigna	Q1020545	/m/02qfgm3	P47	shares border with		Valencia	Q54939	/m/0123x_
1187	Berlin Wall	Q5086	/m/017f5	P17	country		Berlin	Q20144232	
1188	Heidi Klum	Q60036	/m/01pctb	P27	country of citizenship	nationality	Columbus	Q5149987	
1189	Stanley Baldwin	Q166635	/m/0d5ms	P69	educated at		London	Q23306	/m/036wy
1190	Christian Dior	Q159694	/m/012t9m	P69	educated at		Revlon	Q1459595	/m/02fz1g
1191	Sarat Chandra Sinha	Q3950432		P69	educated at		Assam	Q1164	/m/019fm7
1192	Medzilaborce District	Q837884	/m/0d7qfs	P47	shares border with		Slovakia	Q7541598	
1193	Thelungan Kudikadu	Q7781118		P131	located in the administrative territorial entity		Orathanadu	Q7099913	
1194	Bad Doberan	Q9536	/m/010bsz	P131	located in the administrative territorial entity		Germany	Q1350565	
1195	Comiso Airport	Q1431127	/m/05f5rlb	P131	located in the administrative territorial entity		Catania	Q1903	/m/0c630
1196	Oglethorpe County	Q491525	/m/0nz2f	P47	shares border with		Lexington	Q24065046	
1197	Siemiatycze County	Q1125923	/m/0dkj_1	P47	shares border with		Podlaskie Voivodeship	Q2662340	/m/02rwt_g
1198	Siemiatycze County	Q1125923	/m/0dkj_1	P150	contains administrative territorial entity		Podlaskie Voivodeship	Q2662340	/m/02rwt_g
1199	Orinoco River	Q131792	/m/0lzjs	P17	country		Colombia	Q2462831	
1200	Pat Powers	Q2483415	/m/05f082	P27	country of citizenship	nationality	New York Giants	Q3339056	
1201	Trebizond	Q45301	/m/0gxwg	P1376	capital of		Constantinople	Q16869	/m/01q0l
1202	Aleppo Governorate	Q214064	/m/0261xzh	P150	contains administrative territorial entity		Syria	Q24064304	
1203	Bochnia County	Q1147589	/m/046rvl	P47	shares border with		Poland	Q7208881	
1204	Bochnia County	Q1147589	/m/046rvl	P150	contains administrative territorial entity		Poland	Q7208881	
1205	Mick Harford	Q6838221	/m/05yr2f	P54	member of sports team		Forest	Q2017551	
1206	Neil Webb	Q463295	/m/05xnfz	P54	member of sports team		Luton	Q21683239	
1207	Bradley Byrne	Q4954892		P69	educated at		Alabama	Q3709658	
1208	West Knoxville	Q7985645		P131	located in the administrative territorial entity		Knoxville	Q6423649	
1209	La Spedla	Q2396352	/m/04m_5p_	P17	country		Piz Bernina	Q15132	/m/053fq4
1210	Ronnie Whelan	Q544085	/m/04ghhr	P54	member of sports team		Southend	Q7569513	
1211	Alan Little	Q4707160		P54	member of sports team		Southend	Q7569513	
1212	Lee Barnard	Q685579		P54	member of sports team		Tottenham Hotspur	Q774642	/m/065y_5m
1213	Theo Robinson	Q276978	/m/0dvhs_	P54	member of sports team		Watford	Q21886164	
1214	Lee Sawyer	Q603728	/m/02rg2rc	P54	member of sports team		Sunderland	Q541129	
1215	Jozy Altidore	Q208619	/m/02qv04_	P54	member of sports team		Hull	Q16199683	
1216	Tony Warner	Q1085237	/m/07gh7l	P54	member of sports team		Southend	Q7569513	
1217	Dean Austin	Q5245988		P54	member of sports team		Southend	Q7569513	
1218	Tomasz Kuszczak	Q484766	/m/061lz5	P54	member of sports team		BBC	Q9531	/m/0g5lhl7
1219	Robbie Keane	Q184612	/m/02y0dd	P54	member of sports team		Southend	Q7569513	
1220	Britt Assombalonga	Q4971532		P54	member of sports team		Watford	Q21886164	
1221	George Friend	Q770113	/m/03hl68d	P54	member of sports team		Southend	Q7569513	
1222	Bill Veeck	Q2746900	/m/0313hq	P69	educated at		Mobile	Q6886767	
1223	Gus Suhr	Q5620778		P54	member of sports team		Pacific Coast League	Q1353669	/m/0j2pw
1224	Luis Olmo	Q6700944		P54	member of sports team		Brooklyn Dodgers	Q929497	
1225	Abe Saperstein	Q318200	/m/0236gv	P69	educated at		Harlem Globetrotters	Q506754	/m/01lwc3
1226	Sorachi Subprefecture	Q944511	/m/01vgl7	P131	located in the administrative territorial entity		Japan	Q3476248	
1227	Willem de Vlamingh	Q380352	/m/0218j3	P27	country of citizenship	nationality	Swan River	Q1137387	/m/0mg9j
1228	Middle Swan	Q6841607		P131	located in the administrative territorial entity		Swan Valley	Q1511174	/m/01_6ghd
1229	Presidio of San Francisco	Q1755360	/m/0g687	P131	located in the administrative territorial entity		California	Q2933963	/m/025xzfp
1230	Patrick Christopher Chung	Q3369341		P54	member of sports team		National Football League	Q370883	
1231	Michael Sabia	Q6834091		P69	educated at		BCE Inc.	Q24525746	
1232	Mamoru Watanabe	Q6143081		P19	place of birth	birthPlace	IBM	Q37156	/m/03sc8
1233	Charles Frazier	Q1064454	/m/03f_0g	P69	educated at		William Holland Thomas	Q8012426	
1234	Grote Markt	Q1083850	/m/0g4mk2	P47	shares border with		Haarlem	Q2188357	
1235	Schoonhoven	Q478036	/m/0wb_5	P131	located in the administrative territorial entity		The Hague	Q36600	/m/07g0_
1236	Schoonhoven	Q478036	/m/0wb_5	P47	shares border with		The Hague	Q36600	/m/07g0_
1237	Boronia	Q894057		P131	located in the administrative territorial entity		Waratah	Q7968806	
1238	Doveton	Q5302556		P131	located in the administrative territorial entity		Korumburra	Q1876313	/m/05c0g4
1239	Jonas Mekas	Q699702	/m/02r4s5	P27	country of citizenship	nationality	New York	Q60	/m/02_286
1240	Gniezno County	Q133166	/m/0f66wv	P47	shares border with		Poland	Q7208881	
1241	Gniezno County	Q133166	/m/0f66wv	P150	contains administrative territorial entity		Poland	Q7208881	
1242	Flekkefjord	Q493481	/m/01873n	P47	shares border with		Kristiansand	Q12411901	
1243	George J. Mitchell	Q368920	/m/02c643	P69	educated at		Major League Baseball	Q1163715	/m/09p14
1244	Mauricio Macri	Q561837	/m/09nl09	P69	educated at		Montevideo	Q21886545	
1245	Otto Wagner	Q121972		P27	country of citizenship	nationality	Austria	Q4825411	
1246	Groningen	Q892526		P47	shares border with		Netherlands	Q16250490	
1247	Douglas Jardine	Q3038014		P69	educated at		England	Q79282	/m/07ltmv
1248	Catamarca Province	Q44756	/m/02k_5z	P47	shares border with		Argentina	Q645291	/m/0b6mhsj
1249	George Job Elvey	Q5541104		P69	educated at		Canterbury	Q657004	/m/0gs0w
1250	Stephen Elvey	Q7609145		P69	educated at		Oxford	Q34217	/m/05l5n
1251	Faysal Ali Warabe	Q4357936		P27	country of citizenship	nationality	Somaliland	Q34754	/m/0dkly
1252	Sola	Q488948	/m/0186fn	P47	shares border with		Norway	Q7060816	
1253	Robert Moses	Q1111386	/m/01pvnl	P69	educated at		New York State Legislature	Q3270268	
1254	Niagara County	Q114969	/m/0fczy	P47	shares border with		Lakeside Beach State Park	Q6479076	
1255	Grafton County	Q54445	/m/0n5yv	P47	shares border with		Haverhill	Q1591524	
1256	Villalba	Q20684706		P69	educated at		Argentinos Juniors	Q220621	/m/04ck0_
1257	T. V. Raman	Q92722		P69	educated at		Adobe Systems	Q11463	/m/0vlf
1258	Loja Province	Q504238	/m/036649	P47	shares border with		Colombia	Q2462831	
1259	Erie County	Q488679	/m/0mwrc	P47	shares border with		New York	Q60	/m/02_286
1260	Ilona Massey	Q459926	/m/0f7_hb	P27	country of citizenship	nationality	Marx Brothers	Q11036186	
1261	Rostov Oblast	Q3573	/m/02fd4z	P131	located in the administrative territorial entity		Russia	Q3708651	
1262	Rostov Oblast	Q3573	/m/02fd4z	P47	shares border with		Russia	Q3708651	
1263	Uckfield	Q1018490	/m/012cbr	P131	located in the administrative territorial entity		Tunbridge Wells	Q875225	/m/05zvwc
1264	Vedran Runje	Q375800	/m/0dvffw	P54	member of sports team		OGC Nice	Q185163	/m/0346qt
1265	Akershus	Q50615	/m/016zyx	P47	shares border with		Norway	Q7060816	
1266	Akershus	Q50615	/m/016zyx	P150	contains administrative territorial entity		Norway	Q7060816	
1267	Santiago de Chile	Q2887	/m/0dlqv	P1376	capital of		United Kingdom	Q145	/m/07ssc
1268	Jimmy Sexton	Q6201256		P54	member of sports team		Creative Artists Agency	Q3002407	/m/020sn8
1269	Lassen County	Q156340	/m/0kv7_	P47	shares border with		California	Q2933963	/m/025xzfp
1270	Anceaumeville	Q1113050	/m/03qgc7b	P131	located in the administrative territorial entity		Montville	Q3449946	
1271	Anceaumeville	Q1113050	/m/03qgc7b	P47	shares border with		Montville	Q3449946	
1272	Jozef Tiso	Q154346	/m/018xjb	P27	country of citizenship	nationality	Slovakia	Q7541598	
1273	Dorabji Tata	Q1243687		P69	educated at		Tata Group	Q331715	/m/014lk3
1274	William Clay Matthews III	Q390698		P54	member of sports team		National Football League	Q370883	
1275	William Clay Matthews III	Q390698		P69	educated at		National Football League	Q370883	
1276	Southwest Region	Q607499	/m/08lmgh	P47	shares border with		Yakima	Q6169690	
1277	Southwest Region	Q607499	/m/08lmgh	P150	contains administrative territorial entity		Yakima	Q6169690	
1278	Val Gardena	Q384885	/m/0blbld	P131	located in the administrative territorial entity		Fassa Valley	Q1397570	/m/0gtt98c
1279	Rabindranath Tagore	Q7241	/m/0d0mbj	P27	country of citizenship	nationality	Santiniketan	Q1026431	/m/0363vj
1280	Rabindranath Tagore	Q7241	/m/0d0mbj	P69	educated at		Santiniketan	Q1026431	/m/0363vj
1281	W. W. Pearson	Q20204402		P27	country of citizenship	nationality	Japan	Q3476248	
1282	Douglas County	Q484398	/m/0m2d4	P47	shares border with		Genoa	Q3459757	
1283	Satomi Kobayashi	Q265091	/m/04266h	P19	place of birth	birthPlace	Tokyo	Q7473516	
1284	Sequoyah Hills	Q7452576		P131	located in the administrative territorial entity		Turkey Creek	Q6153981	
